,author,published_at,updated_at,like_count,text
0,@user-ns8fg2tr2j,2024-06-14T07:03:59Z,2024-06-14T07:03:59Z,0,Jaise Pakistan Pradhanmantri bhukhe nange vaise Pakistan ki aawam bhukhe nange
1,@abhishekvishwakarma9102,2024-06-14T07:00:23Z,2024-06-14T07:00:23Z,0,Dekho abi 3 din pehle k thoka gya h isi se ftti pdi h agr kch b India k support m bola to bja di  jayegi inki... To bhai y smjhdar Gwar h...
2,@civilmind1589,2024-06-14T07:00:01Z,2024-06-14T07:00:01Z,0,Ye humesha DOLLAR  ke niche hi lage rahege Ё???Ё???Ё???
3,@dilipmistry5530,2024-06-14T06:58:59Z,2024-06-14T06:58:59Z,0,15-20 salo ke baad pakistan ka gfjva e hind ke tahat hindustan Muslim country banega fir tere sath nijah karege 4 log alag alag Ё??╢я╕ПЁ??╢я╕ПтЭ?тЭ?Ё??БЁ??БЁ??БЁ??Б
4,@user-rm7wk1sq2k,2024-06-14T06:58:41Z,2024-06-14T06:58:41Z,0,Pagal khane me bhej donokoЁ???Ё???Ё???Ё???Ё???
5,@user-ns8fg2tr2j,2024-06-14T06:58:13Z,2024-06-14T06:58:13Z,0,Are bhai Ham India Walon Ne Aap Pakistani buke Nagaur Se Kya Lena dena Hamen aur Aisi Ladkiyon ko jo Pakistan ki hai Inko To Ham kutton ke Aage Bhi Nahin dalte
6,@reveen1979,2024-06-14T06:57:15Z,2024-06-14T06:57:15Z,0,just sit back and think.. the hatred towards Bharat and Hindus. Unfortunately we still have people who want good relations with these scum. My stand is.. no trade.. no visas.. no medical visas or whatsoever.
7,@shrawankumartiwari7512,2024-06-14T06:56:56Z,2024-06-14T06:56:56Z,0,рджре? рджрд░реНрд?рди рдмрд?реНрд?ре? рдкре?рджрд╛ рд?рд░рдирд╛ рд╣ре? рдмрд╕ рд?рддрдирд╛ рдкрддрд╛ рд╣ре?ред
8,@user-rm7wk1sq2k,2024-06-14T06:53:20Z,2024-06-14T06:53:20Z,0,"Madarsa study girl, pagal, dimag nahi hai Ё???Ё???Ё???Ё???Ё???Ё???"
9,@ashutoshvengurlekar103,2024-06-14T06:53:10Z,2024-06-14T06:53:10Z,0,"рднрд╛рд?, рд?рдкрдире? рд?ре? рдмре?рд▓рд╛, &quot;рдкрд╛рд?рд┐рд╕реНрддрд╛рдирд?ре? рдЭрд?рдбре?рдоре?рд? рд?рд╛рдБрдж рддрд╛рд░ре?рдиреНрд?рд┐ рд?рд?рд╣рд╛ &quot;рд?рд?ре?рд░рд╛&quot; рдбрд╛рд▓ рджре?&quot; рд?рд╕рдорд╕ре? рдмрд╣ре?рдд рд╣рд?рд╕рд╛ рд╣ре?рдБ рдоре?рд?ред рд?рд╡рд╛рдм рдирд╣ре?рд? рд?рдкрд?ре? рд╣реБрдорд░ рд?рд╛! рд╡реНрд╡рд╛ рдорд?рд╛ рд?рд?рдпрд╛ рдпре? рд╡реНрд╣ре?рдбрд┐рд? рджре?рд?рд?ре?ред рд╣рд┐рд?рджреБрд╕реНрддрд╛рди рдЭрд┐рд?рджрд╛рдмрд╛рдж Ё??оЁ??│"
10,@devjsham1599,2024-06-14T06:52:16Z,2024-06-14T06:52:16Z,0,Itni buddhi hoti to pakistan ka aaj ye haal na hota Ё???Ё???Ё???
11,@luluumiya6205,2024-06-14T06:52:07Z,2024-06-14T06:52:07Z,0,Operation karwane kyu aate ho fir india tum Pakistanio
12,@jaibalag9834,2024-06-14T06:51:37Z,2024-06-14T06:51:37Z,0,India ko konsa tumse pyar hai thukta hai tumpe India
13,@Rahul..naamtosunahoga,2024-06-14T06:50:53Z,2024-06-14T06:50:53Z,0,Ye haraami accha hai Pakistan me hai.. bhadwe
14,@parmeshdiwakar1039,2024-06-14T06:49:14Z,2024-06-14T06:49:14Z,0,Pk he k<br> god bacha lo inko andhkar m ji rahe h ye agyani log
15,@Dhruv_kushwaha556,2024-06-14T06:49:05Z,2024-06-14T06:49:05Z,0,Isse kehte he nach na jane angan teda
16,@tusharkumar9531,2024-06-14T06:48:46Z,2024-06-14T06:48:46Z,0,Kuch din USA ka baap hoga India.....the great India....тЭд
17,@durgaprasadmadhavapeddi8278,2024-06-14T06:48:45Z,2024-06-14T06:48:45Z,0,Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???
18,@rajwindersingh6295,2024-06-14T06:47:12Z,2024-06-14T06:47:12Z,0,Jinha ke pile kabhi nahi sudhrege Ё???Ё???Ё???Ё???Ё???
19,@parmeshdiwakar1039,2024-06-14T06:46:19Z,2024-06-14T06:46:19Z,0,2024 h ab to sudhar jaao education pr focus kro Prkio
20,@tusharkumar9531,2024-06-14T06:46:18Z,2024-06-14T06:46:18Z,0,Mc h Pakistani ....sab ka sab
21,@baludcreator201,2024-06-14T06:45:54Z,2024-06-14T06:45:54Z,0,Jahil jahil hi hote
22,@indramanibirua7982,2024-06-14T06:44:32Z,2024-06-14T06:44:32Z,0,Are bhai pok ko bata do ki USA cricket team me indian playar sab hai
23,@pramodpatil777,2024-06-14T06:43:19Z,2024-06-14T06:43:19Z,0,рд?рдп рд╢реНрд░ре? рд░рд╛рдо<br>рд╣рдорд?ре? рд?рд? рд?рд░рд? рдирд╣ре? рдмрд╛рдк
24,@santhumudiraj3374,2024-06-14T06:42:49Z,2024-06-14T06:42:49Z,0,Pakistani people very educated
25,@deepakpareek9,2024-06-14T06:40:00Z,2024-06-14T06:40:00Z,0,рдорд╛рджрд░рд╕рд╛ рд?ре? рдкрдврд╛рд? рд?рд░ рд╣рд▓рд╛рд▓рд╛ рд?ре? рдкре?рджрд╛рд?рд╢.
26,@jagjitsingharora7083,2024-06-14T06:38:48Z,2024-06-14T06:38:48Z,0,Hate hate and hate India but eating Indian food and medicines without which they cannot survive.
27,@KumarRahulGandhi,2024-06-14T06:36:27Z,2024-06-14T06:36:27Z,0,Are hinduo pehchano pakistanio ko ...mind set kya banake rakhe h bo lok
28,@prakashkhambhu8651,2024-06-14T06:35:51Z,2024-06-14T06:35:51Z,0,World&#39;s best coach Gary  Kristen bhi Pakistan ko sudhar nahi sakteЁ???Ё???Ё???
29,@JaswantJass-vb1de,2024-06-14T06:34:50Z,2024-06-14T06:34:50Z,0,Pakistan se jiyada Muslim India me hai unki Dil ki darkan hamesha hi bolti hai india love you
30,@sureshpadvi4149,2024-06-14T06:34:36Z,2024-06-14T06:34:36Z,0,kya kare bichare ka uper ka to samja niche ka dil  b tuta he
31,@sankarrai6237,2024-06-14T06:34:15Z,2024-06-14T06:34:15Z,0,Pakistan ke public he pakistan ke naam barbaad karta hai asha video dekhke Ё???Ё???Ё???Ё???Ё??оЁ??│Ё??оЁ??│Ё??оЁ??│тЭдя╕ПЁ??оЁ??│Ё??оЁ??│Ё??оЁ??│
32,@sumantasingha8672,2024-06-14T06:31:12Z,2024-06-14T06:31:12Z,0,Pakistan cricket player ko kine late hai
33,@glennex0077,2024-06-14T06:29:48Z,2024-06-14T06:29:48Z,0,Saara dimag toh burqa se dhaka hua hai toh dimag kaam kaise karega ?Ё???
34,@aviricky6026,2024-06-14T06:29:46Z,2024-06-14T06:29:46Z,0,"Hehehe.. <br>Kitna cute hai ye sab.. Looks cutest while hating us too.. Ё???Ё???<br>Khatoon o ko hate Matt do bhaiyo, Ghar wapsi ka Ashirwad do.. <br>Ё?дг"
35,@sourabbauri2017,2024-06-14T06:29:35Z,2024-06-14T06:29:35Z,0,Inka ghatiya majhab yhi sikhata h bas .....terrorism k adhaar pe bana religion kabhi insaniyat sikha hi nhi skta .....Inka chuslam sirf jhooth aur nafrat se bhara hua h
36,@sourabbauri2017,2024-06-14T06:29:28Z,2024-06-14T06:29:28Z,0,Inka ghatiya majhab yhi sikhata h bas .....terrorism k adhaar pe bana religion kabhi insaniyat sikha hi nhi skta .....Inka chuslam sirf jhooth aur nafrat se bhara hua h
37,@AshokSingh-ru4es,2024-06-14T06:27:04Z,2024-06-14T06:27:04Z,0,Yah Madrasa mein jakar donon photo per chumma ke nahin hai
38,@vijendrakumarpatel6594,2024-06-14T06:26:45Z,2024-06-14T06:26:45Z,0,O рд?ре?рдбрд╝ре? рдЭреБрд?рдирд╛ рд╣ре? рд╕ре?рд?рд╛ рд╣ре?
39,@user-bp7en7sy4i,2024-06-14T06:25:48Z,2024-06-14T06:25:48Z,0,Pakistan Murda baad Ё???Ё???Ё???Ё???Ё?дгЁ?дгЁ?дгЁ?дгЁ?дгЁ?дгЁ???Ё???Ё???Ё???Ё???Ё???Ё?дгЁ?дгЁ?дгЁ?дгЁ?дгЁ?дгЁ?дгЁ?дгЁ???Ё???Ё???Ё???Ё?дгЁ?дгЁ?дгЁ?дгЁ???
40,@manishshukla2758,2024-06-14T06:24:06Z,2024-06-14T06:24:06Z,1,Tmhi jaise logo ki vjh se Pakistan badnam hai
41,@mahendraudawat660,2024-06-14T06:23:40Z,2024-06-14T06:23:40Z,1,Kese h ye bhikari fklandoooooodsss
42,@user-bp7en7sy4i,2024-06-14T06:21:42Z,2024-06-14T06:21:42Z,0,Jay Shri Sita Ram Ji Ё??ПЁ??ПЁ??ПЁ??ПЁ??П Jay Shri Ram Ji Ё??ПЁ??ПЁ??ПЁ??ПЁ??П
43,@melodyofpreetiupadhyay,2024-06-14T06:21:08Z,2024-06-14T06:21:08Z,0,Sport nhi hota bahn...support hota haiЁ???Ё???Ё???Ё???
44,@user-bp7en7sy4i,2024-06-14T06:20:50Z,2024-06-14T06:20:50Z,0,Bunty baha Ji Bharat jeeta matlab ki Hindu Daram se Islam har giha Ec liya muslim Kom hamesha chehete he ki Bharat ki Theme har jahe Ji
45,@gamedrivar,2024-06-14T06:19:17Z,2024-06-14T06:20:02Z,0,Ine donon Pakistani ladkiyon ko gobar aur gomutra ki dava khilao  buddhi a jayegi
46,@AmanRaj01103,2024-06-14T06:18:47Z,2024-06-14T06:18:47Z,0,inkae mindset dekho jahar bhara pada hai inke dimag mein Hai ghatiya log Tum kabhi Nahin sudhar sakte hamari vajah se tumhara match bach Gaya Hai Nahin to bahar hote
47,@AjaySharma-xs5yu,2024-06-14T06:18:09Z,2024-06-14T06:18:09Z,0,Abhi tk india kaa he khate the chutiyo
48,@mannuarora9752,2024-06-14T06:17:38Z,2024-06-14T06:17:38Z,0,Hamare india ka asool hi h pyar karne
49,@gamekeeperaj1204,2024-06-14T06:17:34Z,2024-06-14T06:17:34Z,0,Yea bass suar ke pille nikalegi.
50,@mannuarora9752,2024-06-14T06:17:10Z,2024-06-14T06:17:10Z,0,Hum kisi bhi desh se hate nhi karte
51,@mannuarora9752,2024-06-14T06:16:04Z,2024-06-14T06:16:04Z,0,Waah kya soch hai in bahno ki dimaag nahi h ghonsla h
52,@shivkumardixit817,2024-06-14T06:13:52Z,2024-06-14T06:13:52Z,0,"рд?рддрдире? рдирдлрд╝рд░рдд рдлрд┐рд░ рднре? рд╕рд╛рдорд╛рди рддре? рднрд╛рд░рдд рд?рд╛ рдпреБрд? рд?рд░рд░рд╣ре?,рдлре?рд?рд░ рд▓рд╡рд▓ре?,рдмрд╛рд▓ рд╕рд╛рдл рд?рд░рдире? рд?рд╛ рд?реНрд░ре?рдо рднре? рднрд╛рд░рдд рд?рд╛,рд╡рд╛рд╣ рд░ре? рд?рд▓рдорд╛ рд╡рд╛рд▓ре?"
53,@dewanchand4398,2024-06-14T06:13:15Z,2024-06-14T06:13:15Z,0,Burkha.Wali.Madarse.Mai.Daadi.Topi.Walon.Se.Padhi.Hain.Maulna<br>Pakistani.Aurat<br>Ko.72<br>Hur.Aur.Halala<br>Ke<br>Baare<br>Mai<br>Padhate.Hain.To.Pakistanion.Ko.Knoledge.Kahan.Se.Aayegi
54,@CompactClipsTrendz,2024-06-14T06:12:10Z,2024-06-14T06:12:10Z,1,рдзреНрд░реБрд╡ рд░рд╛рдаре? рд╕ре?рд?рд▓ре? рд?рд┐ рд?рд╛рд?рд?реНрд░ре?рд╕ рд?рдиреБрд?рд╛ рд?рд▓рддре? рд╕рд░рд?рд╛рд░ рдмрдирд╛рд?ред   рд? рдПрд?ре? рд?рд░реНрдорди рд?реБрд?реБрд░ рд╣.
55,@gursikhfuels9201,2024-06-14T06:12:06Z,2024-06-14T06:12:06Z,0,рд?рдирд?ре? рд?рд░ре?рд? рдоре? рд?рд?рд╛ рдирд╣ре? рд╣ре? рд?рд╛рдире? рд?ре? рдлрд╝рд┐рд░ рднре? рддре?рд╡рд░ рджре?рд?ре? Ё???Ё???
56,@moshimkhan1169,2024-06-14T06:10:42Z,2024-06-14T06:10:42Z,0,China ka compare karke dikhaЁ???Ё???Ё???Ё???
57,@Patvin007,2024-06-14T06:08:19Z,2024-06-14T06:08:19Z,0,USA team me aadhe to kaafir hai
58,@user-de3ww4cl7h,2024-06-14T06:07:30Z,2024-06-14T06:07:30Z,0,Allah kya tumhare Pak team ki player hai buddh .Unhe kiun bulate hay beta
59,@amit.entertenment123,2024-06-14T06:07:20Z,2024-06-14T06:07:20Z,0,E shali pagal hai esako katora do
60,@deepalikhurana1928,2024-06-14T06:07:03Z,2024-06-14T06:07:03Z,0,INDIA jaise inki support ki wait kar rha hai
61,@vimalgupta8500,2024-06-14T06:01:41Z,2024-06-14T06:01:41Z,0,Us ki team mein bhi to Indian hai
62,@sandipnandi2455,2024-06-14T05:59:56Z,2024-06-14T05:59:56Z,0,Army se training lega to Aisa hoga Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???
63,@user-qy4rt9wf9h,2024-06-14T05:59:38Z,2024-06-14T05:59:38Z,0,рдоре?рдбрдо рд?рдкрдире? рд╣рд┐рд?рд?ре?ре? рд?ре? рд╕рдкре?рд░реНрд? рд?рд░ре? рд?реНрдпреБрд?ре? рдорд░реНрдж рд╕рд┐рд░реНре? рд╣рд┐рдиреНрджреБрд╕реНрддрд╛рди рдоре? рд╣ре? рд?рд╛рд╣ре? рддре? рдПрд? рдмрд╛рд░ рд?ре?рдорд╛ рд▓ре? рд░рд╛рдд рдоре? Ё???Ё???Ё???Ё???
64,@user-om5sq7dg5o,2024-06-14T05:58:05Z,2024-06-14T05:58:05Z,0,Bharat k musalmano ko tumse nafrat hai tum Muslim nahi ho
65,@user-om5sq7dg5o,2024-06-14T05:56:59Z,2024-06-14T05:56:59Z,0,Inke madarse me India walo se nahi chudwaengi  china se chudwaegiЁ???Ё???Ё???Ё???Ё???Ё???Ё???Ё???
66,@lokeshyogi6880,2024-06-14T05:56:34Z,2024-06-14T05:56:34Z,0,Are koi school kholo yha sare k sare jahil h sale Ё???Ё???Ё???
67,@sujatadas5148,2024-06-14T05:55:53Z,2024-06-14T05:55:53Z,0,Pls keep these intelligent women in jahil pakistan only т?жno other nation would like to go near these duffers
68,@user-om5sq7dg5o,2024-06-14T05:55:26Z,2024-06-14T05:55:26Z,0,China. Chudwane jaegi
69,@taherkureshi,2024-06-14T05:55:23Z,2024-06-14T05:55:23Z,0,рд?рдмре? рд?рдзре? рд?рд╛рдлрд┐рд░ рд?ре? рд?реНрдпрд╛ рдмрд╛рдд рд?рд░рддрд╛ рд╣ре? рд╕ре?рд?рд░ рд?рд╛ рд?ре?рд╢реНрдд рд?рд░ рд╢рд░рд╛рдм рдкре?рдире? рд╡рд╛рд▓рд╛ рддреБрдореНрд╣рд╛рд░ре? рд╢ре? рд?ре?рд▓ рд?рд╛рдпрджре? рд╣ рд?рд╛рдо рд?рд┐рдиреНрдирд╛ рдкрд╣рд▓ре? рд╣рд┐рд?рджре? рд?рд╛ рдлрд┐рд░ рд╣ре? рдерд╛ рд?рд░ рд?ре? рднрд┐рд?рд╛рд░ре? рд╕реНрдерд╛рди рдкрд░ рддреБрдо рд▓ре?рд? рд?ре?рдж рд░рд╣ре? рд╣ре? рд╡рд╣ рднре? рд?рд╛рд▓ре? рд╕реНрдерд╛рди 47 рдоре?рд? рддреБрдореНрд╣ре?рд? рд?рд?рдбрд┐рдпрд╛ рд╕ре? рд╣ре? рднре?рд? рдоре?рд? рдорд┐рд▓рд╛ рдерд╛ рддре? рд?реНрдпрд╛рджрд╛ рд╣ре?рд╢рд┐рдпрд╛рд░ре? рд?рдо рд?рд░ре?
70,@vijetalahre4702,2024-06-14T05:54:29Z,2024-06-14T05:54:29Z,0,"Pakistan ko India k kucha acha nahi lagta lakin song India k sunta h , too song bhi Ku sunta h"
71,@nilamjain1892,2024-06-14T05:53:28Z,2024-06-14T05:53:28Z,0,Bharat main bhi he
72,@a.k7220,2024-06-14T05:51:59Z,2024-06-14T05:51:59Z,0,Jahil hai sare Ё???Ё???Ё???sawal hii galt puch liya inse
73,@ratishnair2826,2024-06-14T05:51:18Z,2024-06-14T05:51:18Z,0,Jahil hi rahenge
74,@user-mp6xm1yu2u,2024-06-14T05:51:18Z,2024-06-14T05:51:18Z,0,Pakistani women are very full mother
75,@sujatadas5148,2024-06-14T05:50:57Z,2024-06-14T05:50:57Z,1,We truly donт??t care either way but feel so sorry for these jahil madrasa chaap ppl with such low levels of IQ
76,@charlesuttangi3942,2024-06-14T05:48:39Z,2024-06-14T05:48:39Z,0,It is in  DNA to hate non Islam
77,@rohanjiraadmin8866,2024-06-14T05:48:24Z,2024-06-14T05:48:24Z,0,Ё??оЁ??│
78,@aditeeapte4665,2024-06-14T05:47:48Z,2024-06-14T05:47:48Z,0,USA mein Indian system....hahaha poor girl...Ё?дгЁ?дг
79,@taherkureshi,2024-06-14T05:47:44Z,2024-06-14T05:47:44Z,0,рдпрд╣ рд?рддрд?рд?ре? рд╕реНрдерд╛рди рд╡рд╛рд▓ре?Ё??о рд?рдоре?рд░рд┐рд?рд╛ рд?ре? рд╣ре? рд╕рдкре?рд░реНрд? рд?рд░ре?рд?рд?ре?Ё??о 75 рд╕рд╛рд▓ рд╕ре? рд?рдкрдире? рд?рдмреНрдмре? рд?рдоре?рд░рд┐рд?рд╛ рд╕ре? рднре?рд? рдорд╛рд?рд? рд?рд░ рд?ре? рд?рд╛ рд░рд╣ре? рд╣ре?рд?Ё??? рд?рдирд?рд╛ рд╕рдкре?рд░реНрд? рд?рд░рдирд╛ рддре? рдмрдирддрд╛ рд╣ре? рднрд╛рд?Ё??о рд▓ре?рд?рд┐рди рдПрд? рдмрд╛рдд рд?рд╛ рдореБрдЭре? рдмрд╣реБрдд рд?рдлрд╕ре?рд╕ рд╣ре?Ё??о рдпрд╣ рд?рдирдкрдврд╝ рд?рд╡рд╛рд░ рд?рд╛рд╣рд┐рд▓ рд?ре?рдо рд╣рд░ рдмрд╛рд░ рд?рдкрдире? рд?рдмреНрдмре? рдмрджрд▓ рд▓ре?рддре? рд╣ре?рд? рд?рд░ рдлрд┐рд░ рдкрд╣рд▓ре? рд╡рд╛рд▓ре? рд?рдмреНрдмре? рд?ре? рд?рд╛рд▓ре? рджре?рдирд╛ рд╢реБрд░ре? рд?рд░ рджре?рддре? рд╣ре?рд? рд?рднре? рдиреНрдпре? рдмреНрд░рд╛рд?рдб рд?рдирд?ре? рд?рдмреНрдмре? рд╣ре? рд?ре?рди
80,@satwinderkaur118,2024-06-14T05:46:57Z,2024-06-14T05:46:57Z,0,OMG.koun he yeh log
81,@MrSingwithme,2024-06-14T05:46:23Z,2024-06-14T05:47:13Z,0,India ko support nahi karni aur USA ke match me india ke liye sare pottystan me duwayen chal rahi thi india ke jeetne ke liye Ё???Ё??? dogle pottystani log Ё???Ё???Ё???
82,@PawanKumarDubey-pc9dg,2024-06-14T05:45:37Z,2024-06-14T05:45:37Z,0,рд?рдп рд╢реНрд░ре? рд░рд╛рдоред рджре?рд╡ре? рд?ре? рдПрд╡рд? рд?рджрд░рдгре?рдп
83,@jaszthakor007,2024-06-14T05:42:33Z,2024-06-14T05:42:33Z,0,Jahil ladki Ё???
84,@yatra6392,2024-06-14T05:42:24Z,2024-06-14T05:42:24Z,0,madasra se padh ke aayi hui hai to yahi hal rehega
85,@krishnamedhi1886,2024-06-14T05:41:50Z,2024-06-14T05:42:14Z,0,Pakistan ko kun cricket khelna diya he khelne he nhy aata he sop ke saath harta he
86,@Umesh1154,2024-06-14T05:41:09Z,2024-06-14T05:41:09Z,0,Maine char Kasam ki jarurat hai
87,@vikrammeena8677,2024-06-14T05:39:54Z,2024-06-14T05:39:54Z,0,Burkha pahankar heeramandi ki raande ka interview ho rha haiЁ???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???
88,@WungreiyoZimik,2024-06-14T05:39:38Z,2024-06-14T05:39:38Z,0,Time for you to stop showing Pakistanis media disgusting better off begging.
89,@dineshpillai5531,2024-06-14T05:38:01Z,2024-06-14T05:38:01Z,0,рд?рдирд?рд╛ рджрд┐рдорд╛рд? рд?рд╛ рд╕рд┐рд╕реНрд?рдо рд?рдирдо рд╕ре? рд╣ре? рд?рдкрд?рд? рд╣ре?ред рдмрд?реНрд?ре? рдкре?рджрд╛ рд?рд░рдирд╛ рд╣ре? рд?рдирд?ре? рдПрд? рдорд╛рддреНрд░ рд?реНрд╖рдорддрд╛ рд╣ре?ред
90,@taherkureshi,2024-06-14T05:37:53Z,2024-06-14T05:37:53Z,0,75 рд╕рд╛рд▓ рд╕ре? рднре?рд?ре? рдирд?рд?ре? рдлрд┐рд░ рднре? рд?реБрдж рд?ре? рд╕рдордЭрддре? рд?рд?рд?ре?Ё??о рдкре?рд░ре? рджреБрдирд┐рдпрд╛ рдоре?рд? рд?рддрд?рд? рд╕ре? рд?рд░рддре? рдж рд?ре?Ё??о рд?реНрдпре?рд?рд?рд┐ рдпрд╣ рд?ре? рдо рд╣ре? рд?рд?рд?рд░рдире?рд╢рди рд▓рд┐ рднре?рд? рдо рд?ре?Ё??о рд╕рд╛рд▓рд╛ рдпре? рджреБрд? рд?рдирд?рд╛ рд?реНрдпре?рд? рд?рддреНрдо рдирд╣ре?рд? рд╣ре?рддрд╛ рдмре?Ё??оЁ???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???
91,@barunbiswas4157,2024-06-14T05:36:38Z,2024-06-14T05:36:38Z,0,"Kafi gawar kaum hain pakistan ki, magar jazba bahut hain"
92,@nirmalahir3149,2024-06-14T05:36:09Z,2024-06-14T05:36:09Z,0,Zahil kom zahil soch bhikhari Ё???Ё???Ё???Ё???Ё???Ё???Ё???Ё???
93,@anvarsaiyed4240,2024-06-14T05:34:11Z,2024-06-14T05:34:11Z,0,Ё??Бkyu tumhare mai takat nahi hai ? Jahil or madarsa 6aap log Ё???Ё???
94,@animalandbirdloverabhisek,2024-06-14T05:33:21Z,2024-06-14T05:33:21Z,0,"Sahi to bolte hain. Hum use comedy maante hain. Lekin woh reasi ka attack karke ye baata diya, woh kitne serious hain. Lekin hum to ye comedy Maan kar khush hote hain.Ё??в 9 logon ki maut ka badla hum unka mazaak banake kar rahe hain.."
95,@kchada7898,2024-06-14T05:31:25Z,2024-06-14T05:31:25Z,0,Bunty bro pak mey sab kuty bheje detey
96,@jayeshbarotjayeshbarot3492,2024-06-14T05:30:57Z,2024-06-14T05:30:57Z,0,Fefade ko bolo Pakistan Hindustan Mein Se Hi Paida Hua Hai ..Tujhe kon Pasand karta hai fefade тЭдЁ???Ё??? .
97,@aksr6754,2024-06-14T05:30:51Z,2024-06-14T05:30:51Z,0,Madarsa students
98,@vikrammeena8677,2024-06-14T05:29:30Z,2024-06-14T05:29:30Z,0,Ye anpad heeramandi ki raande hai cricket kya jaaneЁ???Ё???Ё???
99,@patelpatel5217,2024-06-14T05:26:19Z,2024-06-14T05:26:19Z,0,HahaЁ??? madresaa ki jahil mulliaЁ???
